,iphone,attack,cid,curvature,anisotropy,linearity,planarity,sphericity,time
0,iPhone11,Display-Attack,mask,"(0.01, 0.0)","(0.99, 0.0)","(0.36, 0.01)","(0.63, 0.01)","(0.01, 0.0)","(1.43, 0.18)"
1,iPhone11,Print-Attack,mask,"(0.01, 0.0)","(0.98, 0.01)","(0.34, 0.01)","(0.64, 0.02)","(0.02, 0.01)","(1.27, 0.17)"
2,iPhone12,Display-Attack,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.33, 0.0)","(0.64, 0.0)","(0.02, 0.0)","(1.75, 0.15)"
3,iPhone12,Print-Attack,mask,"(0.0, 0.0)","(1.0, 0.0)","(0.33, 0.02)","(0.66, 0.02)","(0.0, 0.0)","(0.98, 0.12)"
4,iPhone11,Attack_1,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.41, 0.0)","(0.58, 0.0)","(0.02, 0.0)","(1.21, 0.17)"
5,iPhone11,Attack_2,mask,"(0.01, 0.0)","(0.98, 0.01)","(0.4, 0.0)","(0.57, 0.01)","(0.02, 0.01)","(1.65, 0.64)"
6,iPhone11,Attack_3,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.41, 0.01)","(0.58, 0.01)","(0.02, 0.0)","(1.31, 0.35)"
7,iPhone11,Attack_4,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.4, 0.0)","(0.58, 0.0)","(0.02, 0.0)","(1.3, 0.21)"
8,iPhone11,Attack_5,mask,"(0.01, 0.0)","(0.98, 0.01)","(0.41, 0.0)","(0.57, 0.01)","(0.02, 0.01)","(1.22, 0.19)"
9,iPhone11,Attack_6,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.4, 0.02)","(0.58, 0.02)","(0.02, 0.0)","(0.97, 0.18)"
10,iPhone12,Attack_1,mask,"(0.01, 0.0)","(0.99, 0.0)","(0.41, 0.0)","(0.58, 0.01)","(0.01, 0.0)","(1.23, 0.16)"
11,iPhone12,Attack_2,mask,"(0.01, 0.0)","(0.98, 0.01)","(0.41, 0.0)","(0.57, 0.01)","(0.02, 0.01)","(1.63, 0.66)"
12,iPhone12,Attack_3,mask,"(0.01, 0.0)","(0.98, 0.01)","(0.41, 0.0)","(0.58, 0.01)","(0.02, 0.01)","(1.46, 0.55)"
13,iPhone12,Attack_4,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.4, 0.0)","(0.58, 0.0)","(0.02, 0.0)","(1.36, 0.2)"
14,iPhone12,Attack_5,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.41, 0.0)","(0.57, 0.0)","(0.02, 0.0)","(1.2, 0.18)"
15,iPhone12,Attack_6,mask,"(0.01, 0.0)","(0.98, 0.0)","(0.4, 0.02)","(0.58, 0.02)","(0.02, 0.0)","(0.95, 0.17)"
